description,category,spec_pred
ถาดอบเคลือบเทปล่อน ขนาด 600x400x25 mm.,Pie Tools,
(TP)(FMST930) CM25010823_Imp-External Signage  : M#22363 Soi Tiwanon 25,Sign Installation And Maintenance Service,item -
"(TW) CS_LIGHTING CONTROL PANEL_For Project MNS Thung Hotel, Chiang Mai",Lighting Maintenance Services,item -
"Limit Switch ""OMRON"" #WLCA2",Limit Switches,
"KEX - Delivery charge of May 2025 (ADEN T PARK)
Delivery invoice no : IND20250600916 amount 13,504.00 THB
Credit note (Rebate) : amount 0 THB
Credit note (Claim) Total amount 0 THB",Contracts,item 
"KEX - Delivery charge of Jun 2025 (ADEN T PARK)
Delivery invoice no : IND20250700668 amount 13,502.00 THB
Credit note (Rebate) : amount 0 THB
Credit note (Claim) Total amount 0 THB",Contracts,item -
โครงการทำเงิน_Arctic Coke_18870,Coke Fuel,
CM24026621:Showcase Cabinets (ตู้แช่):หลอดไฟดับ,Refrigerator Lamps,
"ชุดคลุมสำหรับวิศวกรรม ผ้า Anti - Static,ชุดคลุมสำหรับวิศวกรรม ผ้า ANTI - STATIC",Safety Clothing,
"LED Canopy 150 watt 15,000 lumen,LED CANOPY 150 WATT 15,000 LUMEN",Canopy Light,
Profinet PLZ-Lenze E84AYCERV,Other Watch Accessories,
BUSBAR & ACEESSORIES,Other Connectors & Terminals,
โครงการทำเงิน_Arctic Coke_18866,Coke Fuel,
(TP)(FMST930) CM24019079_Imp-EXTERNAL SIGNAGE : M#22374 Sakundee Road,Sign Installation And Maintenance Service,item -
"AVMATRIX: UC2018, HDMI/SDI to USB Capture",Dvr Cards,
ค่าบริการติดตั้งคาน,Flag Pole Erection Service,
BodyParking TicketOut-V1 LCD QR-Scan Intercom,Other Access Control Products,
งานเปลี่ยนหินขัดขาว VAT10AB-T|-,Sand Making Machinery,
IN2025-01036 Post Guard 100 mm.,Other Electronics Repair Parts,
งานลงสารป้องกันความชื้น,Chemical Detoxification,
ตู้ 1HSDU,Counters,
อาร์ตี้ 70,Other Fresh Vegetables,brand -|grade -|item -|model -|processing -|weight -
"HOLLYLAND: Solidcom SE, Full-Duplex Wireless Solidcom SE Intercom System with 4 Headsets 2.4 GHz",Broadcast Intercom Systems,
ICRO TECH MT-999A (MT-A)ห้องประชุมน้ำปิง,Language Learning,
MPCB ETN PKZM0-20-T 16-20A,Other Watch Accessories,
MHA02.1 ค่า staff ROP ST หาดใหญ่,Temporary Human Resources Services,item 
Limit Switch OMR WLNJ,Switches,
TRIOPO: KP2-90CM Grid Parabolic Softbox (Easy up) ขนาด 90 ซม,Flash Diffusers,
"ค่าที่พัก ""ความปลอดภัยในการทำงานเกี่ยวกับไฟฟ้าฯ"" (25 Nov 24)",Hotel Services,item -
เสื้อสะท้อนแสงติดซิปไซสXXLอก50,Reflective Safety Clothing,
ค่าเช่าตู้คอนเทนเนอร์ 3131010 5680251 วันที่ 12-31 ส.ค. 25,Transport Container Rental Services,item -
ขาตั้งเตาเหล็กฉากกลางทรงเหลี่ยม BP SO1,Fireplace Sets & Accessories,
"PM IT True Shop for True Partner in April 2025
",Contracts,item -
"POWER FLEX STEAM EXPANSION JOINT 6""",Swivels,
1000027206 STRIP,Hot Rolled Steel Strips,
"PS_H175839SEALKITEPDM1.5""58-34-731/01,H175839SEALKITEPDM1.5""58-34-731/01",Seals,application -|brand -|item -|material -|model -|piece -|size -
แผ่นรองมิเตอร์ไฟ TEK 20x60 ซม.ดำ,Voltage Meters,
Laser Pointer,Laser Pointers,
9002908 เข็มขัดพยุงหลัง XL ดำ 3M,Jockstrap,
Relay;24V 120A 100%,Automotive And Light Truck Maintenance And Repair,
J121-DS PROPANE BLOWER CONTROL PIPING,Pneumatic Tools Accessories And Parts,
แม่พิมพ์ตัดเค้ก แบบที่ 1 (ช่องภายใน96ช่อง : 47*47*25มม.)/Cutting Cake Mould size 560*370*25 mm.,Cake Tools,
ทำคืนเจ้าของ EE 17279 เบลลินี่ G&G (1),Shops,item -
UV LAMP 14-16W,Building Maintenance And Repair Services,item -
SP24000795:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
บล็อกแม่พิมพ์,Other Art Supplies,
ชามกระเบื้อง 8 นิ้ว (เข้าไมโครเวฟได้),Kitchen Knives,
ค่าห้องพักauditor,Hotel Services,item -
SP25003424:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
งานปรับปรุงห้อง UV,Building Maintenance And Repair Services,item 
BRAKE PAD 40NM P 19120322,Truck Brakes,
เมาส์ไร้สาย Logitech M221-CORDLESS-MS,Mouse,
Limit Switch OMR WLCA12,Switches,
Wacom Intuos Pen M Black ,Stylus Pens,
Transfer funnel cpl onto se [25-59-3012],Funnels,
เครื่องใส่กระดาษม้วนใหญ่เซฟแพ็คx1,Paper Processing Machinery,
Limit Switch Omron D4C-2402,Limit Switches,
"True RMS Clamp Meter (แคลมป์มิเตอร์), 400A AC รุ่น FLUKE 323 ยี่ห้อ FLUKE",Clamp Meters,
SP25000989:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
Toggle Clamps Horizontal,Other Hardware,
ที่ขอดเกล็ดไฟฟ้า มีตัวเครื่อง แบตเตอรี่ อะแดปเตอร์ สีดำ/สีแดง (คละสี),Burns Surgery Instruments,
"จักรยาน 24"" เชียร์ คละสี337250",City Bike,
งานอุปกรณ์ป้องกันหนู,Rodent Control,
เสื้อกันฝนชุดกันฝนชุดเสื้อกันฝนค้างคาว,Safety Clothing,
"DIMETHYL TRISULFIDE, >=98 100G",Chemical Auxiliary Agent,"brand -|item ditrisulfide,>=98%|model -|piece -|volume 100g"
5HC,Counters,
โครงการทำเงิน_Arctic Coke_18886,Coke Fuel,
โครงการทำเงิน_Arctic Coke_18424,Coke Fuel,
ค่าปรับสภาพแบตฯ,Hydrogen Cell Refueling Service,
"SB_9-16142F17243 0 BUSH,16142F17243 0 BUSH",Piston & Parts,
โครงการทำเงิน_Arctic Coke_13350,Coke Fuel,
ค่าจ้างเหมา หว่านปูน,Concrete Installation And Repair Services,
Desktop&Fix block 4.2  FIXBLOCK4.2,Other Electronics Repair Parts,
A-7139520 Motor drive for GS-100/EM,Drive System Parts,
โครงการทำเงิน_Arctic Coke_18696,Coke Fuel,
"เงินช่วยเหลือ เงินดูแลกลุ่มพนักงานประสบภัยพิบัติ
",Non Governmental Aid,
โครงการทำเงิน_Arctic Coke_16329,Coke Fuel,
LOTUSS เสื้อเชฟสีขาว รอบอก40นิ้ว S,Restaurant & Bar Uniforms,
CM25005190 ค่าแรงงาน,Vehicle Maintenance And Repair Services,item -
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Hall สาขา Central Rayong
Quo No. QM-20250401343",Sign Installation And Maintenance Service,item -
สายคล้องบัตร พิมพ์ลาย 2 ด้าน 25mm.,Satin Lanyards,
โครงการทำเงิน_Arctic Coke_19196,Coke Fuel,
โครงการทำเงิน_Arctic Coke_14194,Coke Fuel,
"POWER FLEX STEAM EXPANSION JOINT 5""",Swivels,
เรือ 2 ที่นั่ง 800*1980*375 mm.,Other Boats,
ดึงสาย Guy Wire ยึดโยงสายไฟ,Power Accessories,
"K-1773_RUBBER BELLOWS,K-1773_RUBBER BELLOWS",Guard Shield,
ORIGINAL TENDERED 140 cm,Whelk,
ค่าเช่าเต็นท์ทรงโค้ง ขนาด 6x30 เมตร เสาสูง 4 ม.,Exhibiting Services,item -
โครงการทำเงิน_Arctic Coke_7631,Coke Fuel,
ตารางสูตร + QC เมนู อเมริกาโน่ส้ม 22 Oz.,Other Paper Packaging,
ซ่อม DRONE T50,Drones Accessories,
"Activation Soln, MembraPure 20ml/BT",Other Lab Supplies,"brand -|item activationsoln,membrapure|model -|piece 1|size -|volume 20ml"
เช่าเครื่องซอฟเสิร์ฟ 3 หัว Top Model เดือน ธันวาคม 2567,Atms,
ตู้เชื่อม WELPRO # WELTIG - MMA160,Tig Welders,
CM25087312:Showcase Cabinets (ตู้แช่):หลอดไฟดับ:Y2023-Y2024 LED Lighting 1500 mm. 6500K,Refrigerator Lamps,
ตะกร้าพลาสติกสำหรับเลือกปลา ขนาด 34.5*35.5*6.5 cm./Plastic Basket,Shopping Baskets,brand -|caster -|color -|handle -|handlematerial -|item -|lid -|material -|model -|piece -|size -|volume -
SP25002565:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
แผงกั้นพาดิชั่น,Counters,
SP25005558:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
ค่าบริการ PM และล้างแผงโซล่าเซลล์,Standby Or Emergency Power Installation Service,
12-input Remote-Controlled Digital Mixer,Audio Processor,
สายไฟ THW ขนาด 1 X 2.5 sqmm,Power Cables,application -|brand -|color -|item -|length -|model -|size -|type -
SP25003045:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
680913 WB card holder สติทช์ PD9802038,Card Holder & Note Holder,
"(AMAZE)
INV 2100059970 - System Fee - Apr 2025
Total ex vat = 12,805.50
Vat 7% = 896.39
Total with vat = 13,701.89 ",Contracts,item -
001874D ARM,Control Arms,
ผ้ากันไฟงานเชื่อม Silica Cloth 2x3m.,Other Safety Products,
"Power Amp; Crown, XLi800, Input Connector:XLR, RCA No.of channel:2",Audio Splitter & Converters,
Collagenase from Clostridium,Feed Enzymes,
M8 Sensor Cable KEYENCE OP-73865 10m,Sensor Kits And Cable Assemblies,
"ภาษีป้ายปี 2568 Airport Shop (South, Northeast); No.Q2025040010",Sign Installation And Maintenance Service,item -
ค่าดำเนินการ 10% /งานเปลี่ยน BARE VERTICAL TURBINE TURBINE PUMP,Turbine Equipment Maintenance Or Repair Service,
USB Keyboard Logitech K120,Keyboards,
3/3 Valve 3 pistion valve VEX3500-06F-B,Pneumatic Tools Accessories And Parts,
Stainless Steel Water Filter (For Proofer),Bread Maker Parts,
"หมวกญี่ปุ่น-ขาว Spandax ชายระบายTC,หมวกญี่ปุ่น-ขาว SPANDAX ชายระบายTC",Ivy Hats,
STAINLESS STEEL WATER FILTER (FOR PROOFER),Bread Maker Parts,
(MT)[FMST908] CM25010352_Imp-Refrigerated Cold Display : M#22616 Kardfar Piangdao,Display Freezers & Fridges,application -|brand -|capacity -|color -|doorstyle -|item -|model -|numberofdoor -|size -
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Hall สาขา Robinson Sriracha
Quo No. QM-20250401343",Sign Installation And Maintenance Service,item -
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Center (COCO) สาขา Tesco Lotus Nakornpatom
Quo No. QM-20250401345-1",Sign Installation And Maintenance Service,item -
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Hall สาขา Central Salaya
Quo No. QM-20250401343",Sign Installation And Maintenance Service,item -
SP24000039:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
SP25002834:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
โครงการกล้าวรรณกรรม (โครงการ),Project Administration Or Planning,
680666 ST ปตท.,Vehicle Maintenance And Repair Services,item -
(TK) ค่าบริการตรวจสอบหน้าเลนส์ infrared ของเครื่องวัดอุณหภูมิ รุ่น 826T4 ,Spectrometers,
กล่องใส่ป้ายโฆษณา 3.16x0.30x0.17 M,Counters,
680053 ST Normal TMW ลดแรง ม.ค.68,Vehicle Maintenance And Repair Services,item 
Limit Switch OMR D4D-2120N,Switches,
ยางกันมุมเสา DWH01Y 12x80x7cm.ดำเหลือง,Corner Guards,
แม่แรงไฮดรอลิค JSK 60ตัน,Jacks,
Kingston 16GB RAM,Rams,
เครื่องหยอดเมล็ดพันธุ์ ทรงสูง 8 ช่อง,Garbage Disposals,
LOGITECH EXPANSION MIC FOR MEETUP,Conference Cameras,
VC100HUHDVideoConferencePTZCamera,Conference Cameras,
1.WIRE HARNESS;BRANCHING MALE TO 2 FEMALE 19.69 LG,Wire Assembly,
MPCB SIE 3RV2021-4AA10 11-16A,Other Watch Accessories,
ชุดขาแขวนแบบห้อยลงมาจากฝ้า,Tv Mounts & Carts,
ค่าบริการบำบัดและกำจัด กากอุตสาหกรรม,Labor Fee,
Digital Pocket Refractometer ATAGO PAL-2,Refractometers,
0097064 ไดร์เป่าผม ionity 2000 วัตต์ Pa,Hair Dryer,
"8% Service Fee of Salarry 

",Repossession Services,
ตู้เชื่อมไฟฟ้าแบบหูหิ้ว JASIC-KT ARC200,Tig Welders,
CM25346604:Air System (ระบบปรับอากาศย่อย):เครื่องทำงานมีเสียงดัง,Air Conditioning Installation Or Maintenance Or Repair Service,item -
โต๊ะวางโน้ตบุ๊ค บีช เฟอร์ราเดค 5A007853,Computer Desks,
โครงการทำเงิน_Arctic Coke_1974,Coke Fuel,
CM25063225:Furniture (อุปกรณ์สำนักงาน/สันทนาการ):เสียหาย,Living Room Cabinets,brand -|color -|doortype -|item -|material -|model -|numberofdoor -|numberofdrawer -|numberofshelf -|size -
โครงการทำเงิน_Arctic Coke_18353,Coke Fuel,
ค่าซ่อมElectrode holder uPlace(ขาตั้งpH),Electrode Holders,
กล่องใส่ป้ายโฆษณา 3.12x0.30x0.17M,Counters,
(SSU)Replace Light Registered Plate&Replace side Maker Lamp&Replace Fifth Wheel&Replace Roof Light &Replace door border (0585W 51-0824)Aug'25Wk32 Ref.TPTL-SKDC-16856,Bus Accessories,
ค่าข้ามเกาะเต่า,Grave Relocation Service,
"SK_30105 PISTON [H08F30105]ST2,SK_30105 PISTON [H08F30105]ST2",Piston & Parts,
"1000000080;6800;BILLING,RETURN MAIL& SCANBARCODE;;",Carbon Paper,
ตู้ 36BS-70,Counters,
ตู้ 2ALLSPC,Counters,
ตู้ G2PZ,Counters,
ตู้ G2QRZ,Counters,
ตู้ 3EC,Counters,
Document Storage Service of JAN 2025,Post Office Box Services,item 
Document Storage Service of DEC 2024,Post Office Box Services,item 
"FR_16171V172350-THRUSTBEARING,16171V172350-THRUSTBEARING",Thrust Roller Bearings,
Power Factor Controller,Power Factor Controllers,
Counter DELTA CTA4100A,Counters,
"KR_SHOCK ABSORBERS MAKC2016M,SHOCK ABSORBERS MAKC2016M",Shock Absorber Springs,
ตู้ 1HLMD,Counters,
CM25000831:Fork Lifts (ชุดอุปกรณ์รถยกโฟล์คลิฟท์):ปรับปรุงซ่อมแซม:Y2024 7634771 Link wheel,Vehicle Maintenance And Repair Services,item -
Phenol ;40001882;CP00;000,Other Organic Chemical,
MOTILIUM -M 3X10s JANSSEN,Other Healthcare Supply,
แคลมป์มิเตอร์แบบดิจิตอลLUZINO EM309Bสีดำ,Clamp Meters,
กล่องกระดาษเช็ดมือ KASSA KS-HSD-E6008เทา,Paper Holders,
งานล้อมรอบโรงจอดรถ,Parking Lot Construction Service,item 
1000067879;4500;FREE GIFTS ค่าบริการเข้ารับ/ส่งสินค้า;;กลับ รถ 4 ล้อ พื้นที่กรุงเทพฯและปริมณฑล ไม่รวมเด็กยก ต่อเที่ยว,Bicycle Or Scooter Messenger Services,
เปลี่ยนอะไหล่รถฟอร์คลิฟท์น้ำมัน No.3,Vehicle Maintenance And Repair Services,item -
Bracket Controller for TIJ (KPD008),Other Office Equipment,
โครงถุงลมพร้อมเสา 30cm.,Tent Accessories,
Support wheel ; 100*40;-;40 ;-;raw,Wheel Parts,
ค่าขนส่งเอกสารFedEx(TNT)เดือน พ.ค.68,Express Services,item 
SP25006438:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
น้ำพุสำหรับสัตว์เลี้ยงไร้สาย PET X V.4,Other Pet Cages & Houses Product,
จักรยานนั่งปั่น,City Bike,
"LBW IGNITER, HSI, 230V/150W [82-90-3551]",Ignition Coils,
ตะแกรงรองหญ้าเทียมคอตรง,Bonsai Tools,
ขี้ผึ้งนับแบงค์Elfen40กรัม 1X1 ;20000518,Other Office & School Supplies,
PB243947,Vehicle Maintenance And Repair Services,item -
CM25302265:Showcase Cabinets (ตู้แช่):หลอดไฟดับ,Refrigerator Lamps,
Limit Switch TEND TZ-5108-2,Switches,
SP24001005:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
TOP-A + Logo,Plastic Crafts,
CM25015314:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
MPCB ETN PKZM0-20 16-20A,Connectors,
ลำแสงป้องกันประตูหนีบ CLC 1S Safety Beam,Safety Sensors,
"Stopcock and PTFE Disk,STOPCOCK AND PTFE DISK",Ptfe,
เครื่องเชื่อมท่อ HDPE รุ่น HW160-2,Tig Welders,
PB7556885 Horn ;30039844;0001;114,Antimony Ingots,
ค่าจัดส่ง ,Vehicle Carrier Services,
งานตรวจน้ำมัน Generator,"Other Certification, Inspection, & Credit Management",
Back Bracing,Other Office Furniture,
Limit Switch TEND TZ-9108,Switches,
RAM DDR4(3200) 16GB HYNIX 8 CHIP,Rams,
โคมไฟเสาสนาม LUZINO#KH1964PS H0.8-BK ดำ,Garden Lights,
เราเตอร์ใส่ซิม4G+Cat6TP-LINKArcher-MR600,Wireless Infrastructure Equipment,
"Limit Switch (VMS-253,VM20 [160-2011577]",Limit Switches,
ตู้ G2PLCBRZ,Counters,
"เข้าตรวจสอบระบบท่อน้ำยา,โครงสร้างหลังคา",Pipefitting Maintenance Or Repair Service,"item เข้าตรวจสอบระบบท่อน้ํายา,โครงสร้างหลังคา"
SP24000561:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
โต๊ะเทเบิลเทนนิส  MDF 18 มม. YA14217,Table Tennis Tables,
Daily Service Agreemnet Sales Summary (SEC 012) ( 1 Pack : 10 เล่ม ),Other Packaging & Printing Products,
Led Processor,Led Driver Board And Module,
SERVICE CHARGE FOR CLEANING & tRANSPORTATION & COMMISSIONING TEST,Dry Cleaning Plant Construction And Remodeling Service,
โครงการทำเงิน_Arctic Coke_22683,Coke Fuel,
ชุดลิมิตประตูลิฟต์ ชานพัก Cargo แบบ NC,Material Handling Equipment Parts,brand -|item -|model -
โครงการทำเงิน_Arctic Coke_13588,Coke Fuel,
งานทำธนาคารน้ำ,Bank Building Construction Service,
ค่าเช่าเต็นท์ขนาด 6x20 เมตร ระหว่างวันที่ 26/07-25/08/2025,Exhibiting Services,item -
เช่ารถโฟล์คลิฟท์ไปปฎิบัติงานที่ HUB สมุย,Forklift Rental,brand -|color -|driverincluded -|enginesize -|enginetype -|forksize -|fullfree -|item -|liftingheight -|manufacturedate -|masttype -|model -|period -|tiretype -|weightlimit -
Pickup Handling Container (01/12/2024-31/12/2024),Cargo Ships,
ขาเหล็กซัพพอร์ตสำหรับติดกล้องความยาว |4เมตร พร้อมทำสีกันสนิม (ขาว) งานติดตั้งกล้องไลน์บรรจุ,Mounts,
MTG Take the trash back for destruction 243 sets,Garbage Collection Or Destruction Or Processing Or Disposal,
Pickup Handling Container (01/04/2025-30/04/2025),Cargo Ships,
โครงการทำเงิน_Arctic Coke_12148,Coke Fuel,
Wire harness; branching  mail to 2 female 39.37 LG,Wire Assembly,
ค่าเช่าเต็นท์ขนาด 6x20 เมตร ระหว่างวันที่ 26/04-25/05/2025,Exhibiting Services,item -
CM25176980:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
BB5210682ชอล์คสีเหลือง โรบิน (60 แท่ง/กล่อง)(กล่อง),Other Office Equipment,
ค่าแรงพนักงานคุมเครื่อง ช่าง 2 คน,Temporary Machinist Personnel,
SOILED DISH TABLE W/Sh 1500x750x850+150,Display & China Cabinets,
Topographic (สำรวจพื้นที่) _UL 253178,Sign Installation And Maintenance Service,item -
งานติดตั้งรูปภาพผู้บริหาร 91.2 x 141 cm,Advertising Boards,brand -|item -|model -|size -
CM25028950:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
Keypad 6160 Honeywell,Keypads & Keyboards,
(PK) อุปกรณ์ไรเดอร์เสื้อแจ็คเก็ตพรีเว่ไซส์รอบอก50 นิ้ว งานพิมพ์ลิเมนชั่นทั้งตัว,Plus Size Men's Vests & Waistcoats,
2DC,Counters,
โครงการทำเงิน_Arctic Coke_502,Coke Fuel,
โครงการทำเงิน_Arctic Coke_9306,Coke Fuel,
งานขนย้ายวัคซีน,Medical Evacuation By Ambulance,
โครงการทำเงิน_Arctic Coke _8247,Coke Fuel,
Sulfuric acid (stack) ;40001848;CP00;000,Organic Acid,
ค่าเช่าเต็นท์ขนาด 6x20 เมตร ระหว่างวันที่ 26/11-25/12/2567,Exhibiting Services,item -
โครงการทำเงิน_Arctic Coke_17403,Coke Fuel,
ค่าเช่าเต็นท์ขนาด 8x20 เมตร ระหว่างวันที่ 13/12/2024-12/01/2025,Exhibiting Services,item -
ENGINE BOARD FOR S809,Electronic Control Module,
ค่าเช่าเต็นท์ขนาด 6x20 เมตร ระหว่างวันที่ 26/06-25/07/2025,Exhibiting Services,item -
FLEXIBLE CONDUIT 3/4'',Conduits & Fittings,brand -|color -|item -|material -|model -|size -
เครื่องฟอกอากาศ XIAOMI XMI-BHR07SITH,Smart Air Purifiers,
Pickup Handing Container (01/11/24 - 30/11/24),Rail Boxcar Or Cargo Car Leasing Service,
CM25028791:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
(PL) Spare part & service- car wash machine (High pressure) Quo: 20250521-1 LLK Wk22,Car Washer,
Cargo Safe FUGU Bag (V1 Valve) 100x180cm,Air Dunnage Bags,
"MA Shop,ซ่อม และติดตั้งโคมไฟ Akzu Lighting @ TRUE BRANDING SHOP สาขา ICON SIAM FL.3
งานซ่อมโคมไฟ
QUOTATION NO: Q6805061",Lighting Installation Services,item -
ซ่อมถังแบตเตอรี่,Automotive And Light Truck Maintenance And Repair,
BB5807050ถ่านไฟฉาย PANASONIC AA ก้อนเขียว (4 ก้อน/แพ็ค) (ก้อน),Other Office Equipment,
"3ACRUF ขนาด 900 x 650 x 1,100 mm.",Other Copper,
CM25010914:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
เครื่องโม่ปูน ขนาด 120 ลิตร,Power Concrete Vibrators,
กรอบอะคริลิค ขาเหล็ก หมุดสีเงิน ขนาด A4,Other Office & School Supplies,
Isolator Switch Eaton,Rotary Switches,
งานเพิ่ม 23085 บ้านกิโลสอง อรัญประเ(1),Shops,item -
ตลับเมตร STANLEY 8m.x25mm.,Tape Measures,
"Sol.V BN311-C-2,0-NBR-G1/4-230/50 3/2Way",Other Lab Supplies,"brand -|item sol.v_bn311-c-2,0-nbr-g1/4-230/50|model -|piece -|size -|volume -"
SP25000506:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
DAM-5002 Professional digital auto mixer,Audio Processor,
BRASS TERMIMAL (ซ้าย-ขวา) [AMATA F600],Other Hardware,
Threaded Rod  Hex  F [126617807],Threaded Rods,
ตู้G2QRZ,Counters,
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Center (COCO) สาขา Big C Nakornpatom
Quo No. QM-20250401345-1",Sign Installation And Maintenance Service,item -
"machine protection switch, for p [53752]",Other Switches,
"Signage,งานผลิตและติดตั้ง Giant Brand Pole Floor Stand size W25 x H150 cm. พร้อมเดินงานระบบและค่าเดินทาง @ Dtac Center (COCO) สาขา Tesco Lotus Kratumban
Quo No. QM-20250401345-1",Sign Installation And Maintenance Service,item -
02. Air Card for Support Team-BIT on May 2025. (Div90),Phone Cards,
02. Air Card for Support Team-BIT on January 2025. (Div90),Phone Cards,
5301449ลวดเย็บกระดาษ No.10 : Max 1x24,Other Office Equipment,
ตู้ 36BS-90,Counters,
เครื่องเจาะดิน STIHL BT230 พร้อมดอกเจาะ,Power Earth Augers,
SP25005783:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
SP25005456:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
SP25002311:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
ส่วนนักเตะ BBALL CAP COT WHITE/BLACK,School Uniforms,
SP24000901:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
หัวเทียน SplitFire,Spark Plugs,brand -|item -|model -
Water Pump,Water Pumps,
"INTERFACE,2PORT ETHERCAT EK [105603709]",Other Drive & Storage Devices,
Sulfuric acid (Work Place) ;40001779;CP0,Organic Acid,
DHH9403800  HOSE HOOK CLAMP/ตะขอแขวนสายยาง,Bolts Clamps,
SP25004942:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
"6-4722 8764 01_Straight connection G 12L,6-4722 8764 01_STRAIGHT CONNECTION G 12L",Urethral Catheter Tube,
เครื่องพลาสม่า CUT45 220V,Plasma Welders,
2003406 แท่นตัดกระดาษ ตราม้า H-1210,Paper Trimmer,
Kud68/025 ST โปรคนโสดเครเกิ้ลครัฟฟิน,Other Bakeware,
กระดาษหัวจดหมาย-ไม่มีที่อยู่ (ขั้นต่ำ 5 Ream : 1 Lot),Other Packaging & Printing Products,
4093201 เมาส์ Razer DeathAdder Essential,Gaming Mouse,
Power Supply Unit [8-84Y2 [8-84Y228660],Other Watch Accessories,
UNIVERSAL JOINT [02 [[021-HBS-00002 (M)],Universal Joints,
"B-ค่ารมยากองสินค้า  18/6/2025 (ECO)|ค่ารมยากองสินค้า 18/6/2025 (สารรมยา ECO FUME) 
2. ข้าวหอม100% ฉัตรเพชร RU PRO สูตร1 6*5 kg. ขนาด 5x10.5x3 = 157.5",Rice,brand -|item |model -|piece -|type หอม|weight 18/6/2025
CM25217560:Showcase Cabinets (ตู้แช่):หลอดไฟดับ,Refrigerator Lamps,
รถเข็นปูนล้อเดี่ยว,Luggage Carts,
โต๊ะวางถุงแป้ง+น้ำตาล เสริมคานสแตนเลส/TableDough +Sugar Reinforced steel bar  Size 800*800*300 mm,Other Kitchen Furniture,
"AC AMPMETER MAT-C 13-IB""AXE"" 4-20mA",Power Measuring Instruments,
"DIAPHRAGM FRAME SET ""SATO""",Stethoscope,
Agency Fee 10%,Gift Bags,
ค่าบริการขนส่งเอกสาร เดือน พ.ย.24,Express Services,item -
โครงการทำเงิน_Arctic Coke_18780,Coke Fuel,
CM24017447:Showcase Cabinets (ตู้แช่):หลอดไฟดับ,Refrigerator Lamps,
"Gas Detecter  Meter (Vega Automation),GAS DETECTER  METER (VEGA AUTOMATION)",Gas Meters,
CM25189083:Air System (ระบบปรับอากาศย่อย):น้ำรั่ว,Air Conditioning Installation Or Maintenance Or Repair Service,item -
โครงการทำเงิน_Arctic Coke_18521,Coke Fuel,
ตู้ 3HLMD,Counters,
